distribution_id,url,size,error
energia_8c1e158f-ac9d-4462-82eb-c1d32899d77a,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/8c1e158f-ac9d-4462-82eb-c1d32899d77a/download/fabricantes-de-envases-de-glp.zip,,Unsupported content type: application/zip
energia_0dbb48c1-d826-464c-abdd-471d21ddbf26,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/0dbb48c1-d826-464c-abdd-471d21ddbf26/download/centros-de-canje-de-envases-de-glp.zip,,Unsupported content type: application/zip
energia_818a9bdc-edfe-4ad1-a4ad-6257d28da965,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/818a9bdc-edfe-4ad1-a4ad-6257d28da965/download/almacenadoras-de-glp.zip,,Unsupported content type: application/zip
energia_39299661-7f4a-4714-b7fc-a2a90f1a5c55,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/39299661-7f4a-4714-b7fc-a2a90f1a5c55/download/aerosoleras-del-mercado-de-glp.zip,,Unsupported content type: application/zip
energia_f43f691f-8564-416d-ab89-8a40248241ae,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/f43f691f-8564-416d-ab89-8a40248241ae/download/comercializacin-hidrocarburos-glp-plantas-fraccionadoras.zip,,Unsupported content type: application/zip
energia_360eabde-9ed2-4110-8ba6-d23802a99b37,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/360eabde-9ed2-4110-8ba6-d23802a99b37/download/glpa.zip,,Unsupported content type: application/zip
energia_6a8d54d2-b060-4ca9-8d4c-651ecf649dda,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/6a8d54d2-b060-4ca9-8d4c-651ecf649dda/download/grandes-consumidores-de-glp.zip,,Unsupported content type: application/zip
energia_76a7da79-696c-462c-8c3b-9146f47b10e7,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/76a7da79-696c-462c-8c3b-9146f47b10e7/download/procesadoras-de-glp-.zip,,Unsupported content type: application/zip
energia_3a838665-5522-485b-a89e-0826e026808d,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/3a838665-5522-485b-a89e-0826e026808d/download/petroqumicas-del-mercado-de-glp.zip,,Unsupported content type: application/zip
energia_aef4c80d-11a6-41d4-bf15-f77730496aad,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/aef4c80d-11a6-41d4-bf15-f77730496aad/download/talleres-de-envases-de-glp-.zip,,Unsupported content type: application/zip
energia_c2bf5aa5-7788-419d-96a6-f67f1ba04c60,http://www.energia.gob.ar/contenidos/archivos/Reorganizacion/sig/glp/analisis_mercado_glp.pdf,,Unsupported content type: application/pdf
energia_3ff3fc44-05d8-4fb2-9e7a-5046780cc0ac,http://www.energia.gob.ar/contenidos/archivos/Reorganizacion/sig/glp/mapa_mercado_glp.pdf,,Unsupported content type: application/pdf
energia_5055dad0-ed2f-4a60-855c-3a08af2151cd,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/5055dad0-ed2f-4a60-855c-3a08af2151cd/download/distribuidoras-de-glp.zip,,Unsupported content type: application/zip
energia_7128388a-cd00-443f-87d5-8a3926db026f,http://datos.energia.gob.ar/dataset/075c393d-5ad1-4cb0-a653-e953c313796d/resource/7128388a-cd00-443f-87d5-8a3926db026f/download/productores-de-glp.zip,,Unsupported content type: application/zip
